Home,1h,Th,Away,1w,Tw
Georgia,30,71,Oregon,40,82
Samford,17,45,Purdue,51,98
Brown,31,70,Colgate,31,72
Chicago St.,21,41,Bowling Green,32,70
The Citadel,27,59,NC State,36,72
Columbia,27,59,Providence,42,78
Delaware,44,78,Bucknell,25,57
Delaware St.,18,45,Penn St.,39,79
Hampton,36,80,Howard,40,92
Holy Cross,28,71,Siena,38,73
Lafayette,35,60,Saint Joseph's,38,81
Maine,27,52,Charlotte,34,69
Monmouth,23,61,George Mason,29,72
Missouri St.,30,59,West Virginia,24,67
Niagara,30,63,Notre Dame,29,70
Oakland,35,73,Ohio St.,34,79
Princeton,32,68,Rutgers,28,61
SIUE,24,47,Dayton,27,63
UMBC,48,93,Louisville,40,94
VMI,36,75,Richmond,55,93
Winthrop,24,56,Clemson,33,78
American,31,63,Villanova,41,90
Cornell,39,84,Lehigh,44,78
FDU,54,92,Buffalo,44,86
Georgia St.,45,87,Belmont,47,89
Lipscomb,31,59,Wichita St.,44,76
Manhattan,35,61,Bryant,33,59
Merrimack,20,55,Vermont,36,67
Towson,24,57,Colorado,28,75
Wagner,31,64,Fordham,23,68
Alabama St.,30,59,Ole Miss,35,69
Ark.-Pine Bluff,40,79,Missouri,57,101
Arkansas St.,41,76,Wisconsin,56,105
Binghamton,39,61,Northwestern,36,72
Bradley,40,73,UAB,24,71
Boston U.,34,58,Northeastern,31,67
Elon,55,78,Wake Forest,43,101
Fairfield,34,70,Boston College,46,89
FIU,21,62,UCF,43,85
Jackson St.,36,77,Memphis,47,94
Morehead St.,35,73,Alabama,55,105
Navy,18,48,Campbell,32,59
Oral Roberts,36,71,UT Arlington,31,75
Robert Morris,33,63,Xavier,39,77
Texas St.,34,66,Little Rock,38,71
Green Bay,18,44,Iowa St.,49,85
James Madison,37,79,Michigan St.,33,76
Youngstown St.,31,62,Louisiana,35,72
Dartmouth,21,54,Duke,42,92
UIC,30,58,Cincinnati,40,69
Southern U.,35,75,TCU,54,108
Morgan St.,26,59,Arizona,61,122
Portland St.,31,62,Air Force,27,55
Sam Houston,25,64,Pacific,25,57
Idaho,28,59,Washington St.,41,84
Drexel,32,61,La Salle,32,67
FGCU,26,63,Indiana,28,69
UAlbany,26,71,Massachusetts,46,92
Mount St. Mary's,19,53,Maryland,33,68
Stony Brook,30,74,St. John's (NY),41,90
North Dakota,32,68,Iowa,56,110
UNI,36,77,North Texas,38,83
Presbyterian,24,68,Vanderbilt,28,62
UNC Asheville,32,74,Michigan,48,99
Auburn,43,82,Baylor,34,88
Florida A&M,27,54,Creighton,56,105
Sacramento St.,30,63,Nevada,39,77
UC Irvine,24,64,San Jose St.,24,72
